	MX y nm - OP		MX ynm - IP		MX y+0.2 nm - OP		MX y+0.2nm - IP		MX y+0.4nm - OP		MX y+0.4nm - IP		MX y+0.6 nm - OP		MX y+0.6nm - IP
9993.465	1234.222813	15009.08	2641.2225	9993.174	430.4367708	15010.12	668.0166667	9993.002	190.2075	15012.12	467.4321875	9992.583	531.4354167	15008.24	660.5833333
9972.486	1308.504375	14963.64	2389.46375	9972.113	447.7497917	14964.62	628.4319792	9972.283	183.4455469	14965.19	434.855	9971.578	503.2975521	14963.52	656.7098958
9949.199	1238.506875	14915.7	2378.446563	9948.663	417.7342708	14915.79	659.410625	9948.691	160.6338281	14917.27	426.6269531	9948.3	519.2094271	14914.55	658.2536458
9925.755	1087.765625	14867.67	2319.022188	9925.513	390.3729167	14868.27	648.5555208	9925.246	141.2470313	14868.53	424.1315625	9925.043	525.3364583	14866.86	633.8296875
9902.061	1034.870625	14819.22	2256.904688	9901.771	387.9429167	14818.9	626.3661458	9901.545	137.9945313	14819.88	487.6058594	9901.099	537.0380208	14818.77	652.7390625
9877.996	1023.697188	14771.25	2435.104063	9877.927	386.2221875	14770.29	682.1196875	9877.766	158.675	14770.41	454.8207031	9877.099	559.3057292	14770.1	660.5708333
9853.939	1024.924375	14722.12	2425.439688	9853.938	417.556875	14722.29	613.0748958	9853.645	176.8325	14722.49	438.5428125	9853.2	549.765625	14721.22	647.3765625
9829.681	1164.4675	14673.21	2171.332813	9829.67	432.2769792	14672.73	627.8889583	9829.241	187.3715625	14672.85	403.3814063	9828.941	547.8114583	14671.57	633.50625
9805.45	1249.276563	14624.34	2156.695625	9805.161	439.5447917	14622.46	689.5735417	9804.979	197.5014063	14623.52	433.4678906	9804.691	532.6791667	14622.87	650.6864583
9781.162	1323.062188	14574.66	2317.16125	9781.123	438.8136458	14573.26	646.47875	9780.654	195.5042188	14573.49	453.6414063	9780.284	519.8398958	14573.16	653.0833333
9756.708	1242.7675	14524.53	2337.443125	9756.383	395.8585417	14524.09	639.9707292	9756.21	175.711875	14524.3	441.4873438	9755.997	511.3492188	14524.29	636.3765625
9731.903	1105.99125	14476.31	2423.480938	9731.717	407.8203125	14474.59	627.8655208	9731.543	165.6688281	14475.05	414.6610938	9731.58	520.8315104	14474.6	639.1458333
9707.316	1071.725	14426.28	2440.504688	9706.984	390.6936458	14425.92	690.6183333	9706.71	143.8901563	14426.13	421.88375	9706.877	527.9208333	14425.38	641.7489583
9682.652	1015.94625	14376.25	2237.53125	9682.188	368.676875	14375.68	610.4978125	9681.922	140.3024219	14375.41	454.6670313	9681.833	537.5473958	14375.99	637.1546875
9658.115	1006.340313	14326.96	2166.98	9657.626	384.115625	14326.32	651.9065625	9657.414	160.0652344	14326.01	430.3902344	9656.803	556.1645833	14325.82	647.9640625
9633.126	1130.694063	14277.17	2190.835	9632.846	433.9941667	14277.21	645.955	9632.487	179.6409375	14276.46	444.7702344	9632.071	553.1536458	14275.88	662.3875
9608.31	1228.59375	14228.1	2317.425625	9608.077	435.1971875	14226.37	607.3601042	9607.756	186.1292188	14226.67	426.7716406	9607.331	544.3583333	14226.48	650.2114583
9583.292	1342.825938	14177.64	2417.864375	9583.485	431.0695833	14177.25	668.6579167	9582.719	179.9219531	14176.99	445.5595313	9582.673	521.4098958	14176.88	630.7802083
9558.282	1291.392813	14127.59	2424.10375	9558.549	417.2313542	14127.48	650.190625	9557.857	166.0695313	14127.5	465.5658594	9557.978	514.8973438	14125.77	647.9682292
9533.478	1175.854375	14077.48	2160.000938	9533.393	387.3390625	14077.01	623.5995833	9532.821	162.6261719	14076.57	431.4689844	9532.682	521.3020833	14075.88	650.7869792
9508.671	1072.334688	14027.84	2121.838125	9508.401	402.4694792	14027.57	660.5778125	9508.052	150.5571094	14027.18	400.7142969	9507.96	518.1364063	14027.02	640.7942708
9483.656	993.7509375	13978.51	2280.009688	9483.3	383.9279167	13977.18	637.4353125	9482.913	146.3314844	13976.68	427.3888281	9483.055	531.0026042	13976.99	639.6708333
9459.032	1033.920313	13927.73	2342.4075	9458.55	411.991875	13926.87	658.1836458	9458.215	161.0599219	13926.8	443.4197656	9458.275	546.6135417	13926.91	636.0614583
9434.042	1117.330938	13877.7	2511.68	9433.828	424.3922917	13876.83	647.0475	9433.544	159.9822656	13876.8	399.3629688	9433.305	555.0244792	13876.74	638.9723958
9409.126	1184.454375	13828.39	2411.802813	9408.691	436.9333333	13827.57	624.5098958	9408.645	195.6316406	13826.57	419.3832031	9408.155	542.5588542	13827.08	650.3447917
9383.912	1298.90125	13777.31	2225.337188	9383.698	434.8934375	13776.51	688.3742708	9383.396	189.186875	13776.9	426.1410156	9383.007	537.1	13776.46	651.1260417
9358.746	1320.080938	13727.84	2084.22625	9358.476	423.550625	13727.59	663.021875	9358.534	173.5396094	13726.93	430.0458594	9358.006	525.2947917	13726.78	651.6869792
9333.885	1212.069063	13677.77	2223.893125	9333.448	383.2941667	13676.71	634.7690625	9333.45	168.9046094	13676.54	401.4827344	9333.034	525.5994792	13676.71	622.55625
9309.07	1107.727188	13626.92	2360.1475	9308.795	382.0751042	13627.23	597.9665625	9308.414	168.5288281	13625.8	426.1584375	9308.093	515.1729688	13626.55	653.4260417
9284.069	1012.180938	13577.31	2292.515625	9283.994	370.3797917	13576.9	625.57125	9283.602	164.4615625	13576.82	439.6185938	9283.441	536.89375	13576.18	650.9677083
9259.199	1003.163125	13527.97	2241.2025	9258.957	386.7791667	13526.96	708.1034375	9258.562	159.8691406	13526.34	423.7360156	9258.284	541.5171875	13526.94	643.7052083
9234.005	1071.331875	13477.85	2248.39125	9233.985	413.1869792	13476.93	616.6932292	9233.737	172.9039844	13477.16	422.5660938	9233.32	557.1854167	13476.66	662.1458333
